Pais;Marca;Modelo;Precio;Kilometros;Automatico/Manual;Fabricacion;Combustible;Potencia
I;citroen;c3;13900.0;;Automatico;ene-20;Gasolina;96 kW (131 CV)
I;bmw;320;18000.0;106345;Automatico;feb-19;Diesel;140 kW (190 CV)
I;cupra;formentor;29900.0;47000;Automatico;ene-22;Diesel;110 kW (150 CV)
NL;citroen;c3;15750.0;54858;Automatico;mar-19;Gasolina;81 kW (110 CV)
NL;citroen;c3 picasso;5450.0;179680;Manual;feb-12;Gasolina;71 kW (97 CV)
D;hyundai;tucson;5980.0;188414;Manual;dic-05;Gasolina;104 kW (141 CV)
E;audi;a4;12800.0;192000;Manual;jul-13;Diesel;105 kW (143 CV)
B;audi;a3;15500.0;77502;Manual;oct-19;Diesel;85 kW (116 CV)
D;mercedes-benz;e 450;39610.0;59300;Automatico;sep-19;Gasolina;270 kW (367 CV)
E;renault;espace;18250.0;144266;Automatico;mar-18;Diesel;118 kW (160 CV)
D;mg;hs;42640.0;0;Automatico;0;Electro/Gasolina;200 kW (272 CV)
NL;ford;focus;18950.0;56260;Manual;oct-20;Electro/Gasolina;91 kW (124 CV)
I;ferrari;208;69000.0;42000;Manual;may-84;Gasolina;162 kW (220 CV)
I;hyundai;i20;12900.0;48200;Manual;nov-20;Electro/Gasolina;73 kW (99 CV)
D;porsche;911;49900.0;10100;Automatico;jul-01;Gasolina;221 kW (300 CV)
D;volkswagen;touran;6990.0;234500;Manual;nov-09;Diesel;77 kW (105 CV)
A;land rover;range rover velar;38000.0;131890;Automatico;abr-18;Diesel;132 kW (179 CV)
E;mercedes-benz;a 180;18500.0;90500;Automatico;mar-18;Gasolina;90 kW (122 CV)
I;dacia;lodgy;6790.0;177000;Manual;mar-14;Diesel;66 kW (90 CV)
I;land rover;defender;20000.0;230000;Manual;dic-02;Diesel;90 kW (122 CV)
B;land rover;range rover evoque;25950.0;109000;Automatico;ene-20;Diesel;132 kW (179 CV)
D;mercedes-benz;b 150;6950.0;151000;Automatico;mar-07;Gasolina;70 kW (95 CV)
I;fiat;panda;13250.0;10;Manual;nov-24;Electro/Gasolina;51 kW (69 CV)
NL;toyota;yaris;2350.0;113055;Manual;abr-08;Gasolina;64 kW (87 CV)
NL;bmw;320;25990.0;99345;Automatico;ago-18;Gasolina;135 kW (184 CV)
D;porsche;cayenne;34500.0;error;Automatico;nov-15;Diesel;193 kW (262 CV)
D;nissan;micra;11480.0;62448;Manual;ene-18;Gasolina;66 kW (90 CV)
NL;honda;civic;4950.0;249115;Manual;may-07;Gasolina;103 kW (140 CV)
NL;fiat;panda;;205968;Manual;abr-06;Gasolina;40 kW (54 CV)
I;peugeot;e-208;23900.0;7000;Automatico;jun-23;Electrico;57 kW (77 CV)
E;kia;stonic;11990.0;131275;Manual;ene-18;Gasolina;88 kW (120 CV)
L;audi;tt;35990.0;34602;Automatico;ago-21;Gasolina;145 kW (197 CV)
D;nissan;townstar;23990.0;21152;Manual;dic-23;Gasolina;96 kW (131 CV)
F;opel;zafira;6000.0;123861;Manual;mar-11;Diesel;92 kW (125 CV)
NL;peugeot;boxer;;251167;Manual;oct-10;Diesel;74 kW (101 CV)
B;renault;clio;2105.0;244000;Manual;feb-07;Gasolina;55 kW (75 CV)
I;mercedes-benz;gla 200;16900.0;error;Automatico;jun-15;Diesel;100 kW (136 CV)
I;toyota;c-hr;20890.0;42800;Automatico;nov-20;Electro/Gasolina;72 kW (98 CV)
NL;audi;a3;3500.0;335000;Automatico;sep-07;Gasolina;118 kW (160 CV)
I;mg;zs;;18787;Manual;abr-23;Gas licuado (GLP);78 kW (106 CV)
NL;porsche;997;66997.0;141839;Automatico;may-08;Gasolina;261 kW (355 CV)
B;bmw;235;34900.0;error;Automatico;jun-20;Gasolina;225 kW (306 CV)
D;peugeot;partner;17800.0;10281;Automatico;feb-20;Diesel;96 kW (131 CV)
D;smart;city-coupe/city-cabrio;5900.0;109845;Automatico;sep-08;Gasolina;52 kW (71 CV)
B;audi;a1;12950.0;86975;Manual;jul-16;Diesel;66 kW (90 CV)
E;renault;megane;29900.0;9000;Automatico;jun-23;Electrico;162 kW (220 CV)
D;renault;clio;13490.0;74352;Automatico;sep-19;Gasolina;96 kW (131 CV)
A;renault;captur;19950.0;;Automatico;may-21;Electro/Gasolina;68 kW (92 CV)
NL;skoda;fabia;4650.0;187075;Manual;ene-12;Gasolina;51 kW (69 CV)
I;bmw;ix;77250.0;0;Automatico;0;Electrico;240 kW (326 CV)
A;nissan;qashqai;19790.0;38741;Manual;dic-20;Gasolina;103 kW (140 CV)
I;dr automobiles;dr5.0;19900.0;0;Manual;0;Gasolina;86 kW (117 CV)
F;hyundai;ix35;;194475;Manual;jun-10;Diesel;100 kW (136 CV)
I;ford;fiesta;3900.0;174000;Manual;ene-10;Gas licuado (GLP);70 kW (95 CV)
A;opel;astra;9990.0;54500;Manual;sep-17;Gasolina;74 kW (101 CV)
D;mercedes-benz;sl 320;55000.0;16100;Automatico;ene-95;Gasolina;170 kW (231 CV)
A;ford;fiesta;21990.0;512;Manual;sep-22;Electro/Gasolina;92 kW (125 CV)
A;jaguar;xj;25800.0;167000;Automatico;ene-15;Gasolina;250 kW (340 CV)
E;mercedes-benz;glb 200;37900.0;33126;Automatico;mar-21;Diesel;110 kW (150 CV)
I;seat;ateca;18900.0;87000;Manual;sep-19;Diesel;85 kW (116 CV)
D;dacia;logan;350.0;188652;Manual;ago-06;Gasolina;55 kW (75 CV)
B;iveco;daily;22000.0;293208;0 Transmision;may-21;Diesel;132 kW (179 CV)
F;lexus;is 300;22499.0;86438;Automatico;sep-13;Otros;135 kW (184 CV)
I;fiat;500x;13500.0;62000;Manual;feb-20;Gasolina;88 kW (120 CV)
F;citroen;c3;10900.0;93985;Manual;oct-19;Gasolina;81 kW (110 CV)
D;rolls-royce;spectre;499900.0;19;Automatico;0;Electrico;430 kW (585 CV)
D;peugeot;5008;;10;Automatico;mar-23;Diesel;96 kW (131 CV)
D;volkswagen;polo;1200.0;;Manual;jul-05;Gasolina;40 kW (54 CV)
E;bmw;335;;168000;Automatico;ene-12;Gasolina;225 kW (306 CV)
E;tesla;model s;;0;Automatico;0;Electrico;750 kW (1.020 CV)
B;renault;kangoo;12100.0;34077;Manual;mar-16;Gasolina;84 kW (114 CV)
D;bmw;320;;262000;Manual;jun-00;Gasolina;110 kW (150 CV)
I;bmw;z8;195000.0;16128;Manual;abr-02;Gasolina;294 kW (400 CV)
I;aixam;;9500.0;27000;0 Transmision;nov-21;Diesel;8 kW (11 CV)
NL;mitsubishi;space star;6900.0;;Manual;mar-20;Gasolina;59 kW (80 CV)
I;audi;a4;5500.0;300000;Manual;mar-09;Diesel;105 kW (143 CV)
I;citroen;c1;;100000;Manual;mar-07;Gasolina;50 kW (68 CV)
D;seat;mii;10700.0;62112;Automatico;dic-15;Gasolina;55 kW (75 CV)
NL;renault;scenic;16900.0;89995;Automatico;abr-18;Gasolina;104 kW (141 CV)
NL;mercedes-benz;c 200;13000.0;283050;Automatico;jun-19;Diesel;118 kW (160 CV)
I;opel;corsa vi 2020;12990.0;39697;Manual;abr-21;Gasolina;74 kW (101 CV)
D;jeep;compass;24750.0;20000;Automatico;sep-20;Gasolina;132 kW (179 CV)
B;porsche;cayenne;45999.0;149982;Automatico;dic-17;Gasolina;324 kW (441 CV)
B;audi;a4;16900.0;137410;Automatico;ago-16;Gasolina;110 kW (150 CV)
E;audi;tt;33500.0;34447;Automatico;jun-19;Gasolina;145 kW (197 CV)
E;land rover;discovery sport;15500.0;127000;Manual;sep-16;Diesel;110 kW (150 CV)
NL;mitsubishi;outlander;15950.0;117912;Automatico;dic-13;Electro/Gasolina;0 kW (0 CV)
F;audi;rs4;81890.0;83500;Automatico;may-20;Gasolina;336 kW (457 CV)
B;volkswagen;tiguan;31199.0;50090;Automatico;abr-21;Electro/Gasolina;180 kW (245 CV)
D;peugeot;207;3999.0;129000;Manual;abr-09;Gasolina;54 kW (73 CV)
B;mercedes-benz;e 200;5750.0;121000;Manual;oct-06;Diesel;100 kW (136 CV)
I;alfa romeo;159;5900.0;257890;Manual;ene-12;Diesel;125 kW (170 CV)
I;lancia;ypsilon;3900.0;103276;Manual;mar-08;Gasolina;44 kW (60 CV)
A;ford;fiesta;21900.0;6470;Manual;ago-23;Gasolina;74 kW (101 CV)
I;bmw;;;70300;Automatico;jul-14;Electrico;75 kW (102 CV)
A;volvo;v50;1300.0;270650;Manual;may-07;Gasolina;74 kW (101 CV)
B;volkswagen;transporter;14995.0;;Manual;feb-06;Diesel;77 kW (105 CV)
F;renault;clio;14000.0;40000;Automatico;ago-21;Electro/Gasolina;103 kW (140 CV)
A;ford;kuga;36150.0;10;Automatico;0;Gasolina;132 kW (179 CV)
B;mitsubishi;outlander;;;Manual;oct-05;Gasolina;100 kW (136 CV)
NL;suzuki;alto;3750.0;157533;Manual;ene-11;Gasolina;50 kW (68 CV)
B;audi;a3;15900.0;141000;Automatico;mar-15;Gasolina;132 kW (179 CV)
I;citroen;c3;10000.0;93000;0 Transmision;jul-18;Gasolina;60 kW (82 CV)
NL;toyota;c-hr;19949.0;100300;Manual;abr-17;Gasolina;85 kW (116 CV)
I;infiniti;q30;12500.0;190000;Automatico;jun-16;Diesel;125 kW (170 CV)
B;opel;vivaro;35590.0;5;Automatico;dic-24;Diesel;107 kW (145 CV)
D;hyundai;h-1;9900.0;180000;Manual;jun-11;Diesel;125 kW (170 CV)
E;honda;jazz;28945.0;0;Automatico;0;Electro/Gasolina;80 kW (109 CV)
A;citroen;c4;3900.0;168500;Manual;mar-12;Gasolina;88 kW (120 CV)
D;mercedes-benz;e 320;2999.0;293500;Automatico;ago-03;Diesel;150 kW (204 CV)
F;citroen;c3;17990.0;32996;Manual;jun-23;Diesel;0 kW (0 CV)
B;kia;ceed sw / cee'd sw;19250.0;59954;Manual;ago-22;Gasolina;88 kW (120 CV)
I;alfa romeo;giulietta;6100.0;160000;Manual;mar-13;Diesel;77 kW (105 CV)
D;fiat;124 spider;20499.0;33400;Automatico;feb-18;Gasolina;103 kW (140 CV)
I;audi;a6 allroad;72300.0;10;Automatico;may-24;Electro/Diesel;180 kW (245 CV)
A;skoda;scala;;0;Automatico;may-24;Gasolina;110 kW (150 CV)
D;opel;tigra;;;Manual;dic-05;Gasolina;92 kW (125 CV)
I;opel;corsa;12950.0;30949;Manual;jun-23;Gasolina;74 kW (101 CV)
I;skoda;octavia;10900.0;176000;Automatico;sep-18;Diesel;85 kW (116 CV)
A;ford;puma;29490.0;error;Automatico;0;Gasolina;92 kW (125 CV)
NL;suzuki;alto;;131191;Manual;feb-11;Gasolina;50 kW (68 CV)
D;mini;cooper se countryman;32770.0;0;Automatico;0;Gasolina;115 kW (156 CV)
B;hyundai;tucson;19900.0;83800;Manual;may-21;Gasolina;110 kW (150 CV)
NL;toyota;c-hr;18400.0;77932;Automatico;dic-16;Electro/Gasolina;90 kW (122 CV)
E;nissan;juke;14500.0;87000;Manual;jul-17;Gasolina;85 kW (116 CV)
D;hyundai;tucson;16985.0;84600;Manual;sep-17;Gasolina;130 kW (177 CV)
I;citroen;c3;3800.0;187200;Manual;ene-05;Diesel;50 kW (68 CV)
NL;land rover;range rover evoque;24000.0;110210;Automatico;dic-16;Diesel;110 kW (150 CV)
NL;fiat;grande punto;2450.0;239968;Manual;may-07;Gasolina;57 kW (77 CV)
E;seat;leon;13545.0;91706;Manual;abr-17;Gasolina;92 kW (125 CV)
F;citroen;c3;;58000;Manual;may-19;Diesel;74 kW (101 CV)
D;mercedes-benz;gla 220;20900.0;92000;Automatico;sep-16;Diesel;130 kW (177 CV)
D;renault;twingo;;57000;Manual;jul-98;Gasolina;43 kW (58 CV)
I;renault;scenic;1900.0;226000;Manual;jul-06;Diesel;96 kW (131 CV)
NL;jaguar;e-pace;62900.0;9910;Automatico;mar-23;Electro/Gasolina;227 kW (309 CV)
F;mercedes-benz;glc 300;49990.0;58554;Automatico;nov-21;Electro/Diesel;180 kW (245 CV)
D;suzuki;jimny;9450.0;69717;Manual;oct-08;Gasolina;63 kW (86 CV)
NL;audi;tt;4950.0;178489;Manual;mar-00;Gasolina;132 kW (179 CV)
F;nissan;nv200;14999.0;66203;Manual;mar-14;Diesel;81 kW (110 CV)
NL;ford;mustang;119950.0;99999;Manual;mar-66;Gasolina;199 kW (271 CV)
D;mercedes-benz;sl 450;32900.0;192000;0 Transmision;dic-75;Gasolina;160 kW (218 CV)
F;land rover;range rover evoque;22890.0;68639;Automatico;oct-17;Diesel;132 kW (179 CV)
E;seat;leon;14775.0;184174;Automatico;ene-21;Diesel;103 kW (140 CV)
A;aixam;city;13990.0;99;Automatico;0;Diesel;6 kW (8 CV)
NL;fiat;500l;6450.0;148000;Manual;nov-13;Gasolina;77 kW (105 CV)
D;aixam;city;14405.0;0;Automatico;0;Diesel;6 kW (8 CV)
B;piaggio;porter;26607.0;980;0 Transmision;nov-23;Gas licuado (GLP);78 kW (106 CV)
I;ford;fiesta;5500.0;249000;Manual;jun-11;Gasolina;71 kW (97 CV)
B;audi;a1;13000.0;56019;Manual;sep-16;Gasolina;60 kW (82 CV)
NL;suzuki;swift;15250.0;103500;Manual;jun-18;Gasolina;103 kW (140 CV)
I;jeep;renegade;39900.0;100;Manual;mar-23;Electro/Gasolina;1 kW (1 CV)
I;seat;altea xl;5500.0;;Manual;nov-11;Diesel;77 kW (105 CV)
I;volvo;xc60;32000.0;125583;Automatico;nov-18;Diesel;140 kW (190 CV)
D;suzuki;sx4;5980.0;64000;Manual;jun-10;Gas licuado (GLP);79 kW (107 CV)
I;peugeot;208;6900.0;160000;Manual;abr-13;Diesel;84 kW (114 CV)
E;seat;tarraco;26500.0;70000;Automatico;mar-21;Diesel;110 kW (150 CV)
I;opel;astra;7900.0;70000;Manual;feb-20;Diesel;90 kW (122 CV)
I;bentley;flying spur;55000.0;55000;0 Transmision;jun-15;Gasolina;185 kW (252 CV)
F;opel;grandland;30000.0;13850;Automatico;ago-21;Otros;149 kW (203 CV)
NL;fiat;500c;14500.0;35962;Manual;ago-21;Electro/Gasolina;51 kW (69 CV)
F;dodge;ram;146900.0;24500;Automatico;ene-22;Gasolina;0 kW (0 CV)
D;ford;kuga;14490.0;74784;Manual;feb-15;Gasolina;110 kW (150 CV)
NL;nissan;pixo;6440.0;40654;Manual;ene-13;Gasolina;50 kW (68 CV)
D;bmw;325;7999.0;158000;Manual;jul-07;Gasolina;160 kW (218 CV)
A;opel;mokka;11990.0;103241;Manual;mar-14;Diesel;96 kW (131 CV)
F;renault;arkana;21990.0;;Automatico;feb-23;Electro/Gasolina;0 kW (0 CV)
D;abarth;695;34490.0;99;Automatico;ene-24;Gasolina;132 kW (179 CV)
E;skoda;octavia;16991.0;88005;Automatico;jun-20;Gasolina;110 kW (150 CV)
NL;land rover;discovery sport;80790.0;15;Automatico;ene-25;Electro/Gasolina;199 kW (271 CV)
NL;land rover;discovery;21450.0;187737;Automatico;jul-13;Diesel;188 kW (256 CV)
NL;renault;captur;23349.0;23622;Automatico;abr-22;Gasolina;103 kW (140 CV)
I;ford;puma;17490.0;50000;Manual;mar-21;Electro/Gasolina;92 kW (125 CV)
A;mercedes-benz;c 200;32890.0;12224;Automatico;feb-22;Diesel;120 kW (163 CV)
E;porsche;992;117900.0;36900;Automatico;jul-20;Gasolina;283 kW (385 CV)
F;renault;kangoo;3480.0;59000;Automatico;abr-14;Electrico;44 kW (60 CV)
L;alpine;a110;169990.0;100;Automatico;jul-24;Gasolina;221 kW (300 CV)
D;hyundai;kona;41790.0;15;Automatico;0;Electrico;160 kW (218 CV)
I;jeep;avenger;21500.0;58820;Manual;jul-23;Gasolina;74 kW (101 CV)
D;suzuki;ignis;17450.0;900;Manual;abr-20;Gasolina;66 kW (90 CV)
NL;citroen;ds4;7950.0;129984;Manual;nov-14;Gasolina;88 kW (120 CV)
NL;audi;a3;25900.0;113601;Automatico;nov-20;Gasolina;110 kW (150 CV)
B;renault;clio;;31000;Manual;ene-19;Gasolina;66 kW (90 CV)
I;iveco;daily;6500.0;571000;Manual;jul-10;Diesel;73 kW (99 CV)
B;citroen;c3;15200.0;25203;Manual;sep-23;Gasolina;81 kW (110 CV)
I;mercedes-benz;a 180;4000.0;;Manual;mar-08;Diesel;80 kW (109 CV)
E;volkswagen;caddy;39416.0;0;Manual;0;Diesel;75 kW (102 CV)
D;renault;modus;1650.0;140000;Manual;nov-07;Gasolina;48 kW (65 CV)
D;citroen;c4 cactus;7990.0;51776;Manual;dic-15;Gasolina;60 kW (82 CV)
B;porsche;718 spyder;214950.0;3500;Automatico;may-24;Gasolina;368 kW (500 CV)
NL;seat;leon e-hybrid;41000.0;10;Automatico;ene-24;Electro/Gasolina;150 kW (204 CV)
D;skoda;octavia;6290.0;305000;Automatico;jul-16;Diesel;110 kW (150 CV)
I;peugeot;208;6400.0;121000;Manual;jul-12;Gasolina;60 kW (82 CV)
D;mazda;5;;188000;Manual;jul-07;Gasolina;107 kW (145 CV)
B;peugeot;308;15000.0;120000;Automatico;may-16;Gasolina;96 kW (131 CV)
A;toyota;auris;9090.0;50500;Manual;ene-14;Gasolina;73 kW (99 CV)
I;land rover;discovery sport;16900.0;115050;Automatico;nov-17;Diesel;110 kW (150 CV)
NL;kia;ceed / cee'd;12490.0;98141;Manual;dic-16;Gasolina;99 kW (135 CV)
B;ford;ranger;37400.0;55845;Automatico;may-21;Diesel;157 kW (213 CV)
E;opel;astra;11790.0;44390;Manual;sep-19;Gasolina;92 kW (125 CV)
D;mercedes-benz;e 420;;249500;Automatico;sep-08;Diesel;231 kW (314 CV)
NL;bmw;440;28995.0;164000;Automatico;may-16;Gasolina;240 kW (326 CV)
E;fiat;500;12990.0;36909;Manual;jun-23;Electro/Gasolina;51 kW (69 CV)
I;audi;q5;34500.0;89999;Automatico;abr-22;Electro/Diesel;100 kW (136 CV)
I;porsche;macan;31500.0;189000;Semiautomatico;ago-15;Gasolina;250 kW (340 CV)
B;ferrari;portofino;229500.0;6050;Automatico;mar-22;Gasolina;456 kW (620 CV)
I;volvo;xc40;16500.0;208000;Automatico;nov-19;Diesel;110 kW (150 CV)
B;audi;a1;5600.0;125000;Manual;jun-11;Diesel;77 kW (105 CV)
I;audi;tt;9000.0;224000;Manual;ago-00;Gasolina;165 kW (224 CV)
D;ford;focus;3800.0;76500;Manual;may-08;Gasolina;74 kW (101 CV)
NL;skoda;kamiq;28440.0;11441;Automatico;sep-23;Gasolina;110 kW (150 CV)
NL;bmw;335;21950.0;209516;Automatico;sep-14;Diesel;230 kW (313 CV)
F;bmw;x5 m;29990.0;141000;Automatico;mar-18;Otros;180 kW (245 CV)
D;nissan;x-trail;2800.0;166004;Manual;mar-07;Diesel;100 kW (136 CV)
E;peugeot;208;16990.0;24654;Automatico;feb-23;Gasolina;75 kW (102 CV)
I;renault;grand scenic;4999.0;147000;Manual;ene-09;Diesel;78 kW (106 CV)
NL;lexus;ct 200h;14990.0;58553;Automatico;oct-15;Electro/Gasolina;73 kW (99 CV)
D;chevrolet;camaro;107900.0;0;Automatico;0;Gasolina;478 kW (650 CV)
A;jaguar;i-pace;24001.0;143244;Automatico;abr-19;Electrico;294 kW (400 CV)
I;volvo;c70;8900.0;192000;Automatico;may-12;Diesel;110 kW (150 CV)
D;volvo;ex90;103900.0;50;Automatico;0;Electrico;380 kW (517 CV)
NL;bmw;x5 m;136900.0;29917;Automatico;ene-22;Gasolina;460 kW (625 CV)
I;abarth;grande punto;12000.0;4000;Manual;ago-08;Gasolina;132 kW (179 CV)
I;mazda;cx-30;27890.0;0;Manual;0;Electro/Gasolina;110 kW (150 CV)
F;volkswagen;polo;;207000;Manual;jun-99;Gasolina;44 kW (60 CV)
I;mini;cooper se countryman;28800.0;32619;Automatico;oct-20;Electro/Gasolina;92 kW (125 CV)
D;mazda;cx-5;26900.0;17264;Manual;may-23;Gasolina;121 kW (165 CV)
B;seat;tarraco;38000.0;68000;Automatico;jul-21;Gasolina;110 kW (150 CV)
I;volkswagen;t-roc;15999.0;138500;Automatico;dic-20;Diesel;110 kW (150 CV)
I;lancia;delta;40000.0;18000;0 Transmision;abr-89;Gasolina;221 kW (300 CV)
D;cupra;formentor;42770.0;10;Automatico;0;Gasolina;245 kW (333 CV)
D;renault;clio;21480.0;10;Manual;0;Gasolina;67 kW (91 CV)
I;porsche;cayenne;14000.0;1500;Automatico;jun-07;Gas licuado (GLP);200 kW (272 CV)
D;toyota;c-hr;20980.0;36144;Automatico;sep-19;Electro/Gasolina;72 kW (98 CV)
I;volkswagen;golf;9500.0;160800;Manual;sep-13;Diesel;77 kW (105 CV)
I;audi;a3;11000.0;180000;Manual;dic-14;Diesel;110 kW (150 CV)
NL;audi;a6;7500.0;220119;Automatico;may-05;Gasolina;246 kW (334 CV)
D;mitsubishi;colt;13000.0;128000;Manual;jul-08;Gasolina;110 kW (150 CV)
I;dodge;viper;95000.0;30000;Manual;ene-05;Gasolina;372 kW (506 CV)
A;kia;stonic;15970.0;31100;Manual;jun-21;Gasolina;74 kW (101 CV)
I;fiat;tipo;15900.0;22390;Manual;ene-20;Gasolina;88 kW (120 CV)
NL;opel;astra;1199.0;322801;Automatico;ago-02;Gasolina;74 kW (101 CV)
NL;saab;900;;189986;Manual;abr-96;Gasolina;110 kW (150 CV)
I;peugeot;208;14900.0;error;Manual;feb-21;Gasolina;74 kW (101 CV)
D;ford;focus;2999.0;222000;Manual;may-14;Diesel;85 kW (116 CV)
D;dodge;challenger;27900.0;63971;Automatico;may-21;Gasolina;227 kW (309 CV)
D;mercedes-benz;s 560;37999.0;195532;Automatico;jul-89;Gasolina;200 kW (272 CV)
I;kia;picanto;9900.0;125000;Manual;ene-19;Gas licuado (GLP);48 kW (65 CV)
F;peugeot;508;6990.0;200796;Manual;feb-13;Diesel;120 kW (163 CV)
D;renault;laguna;1490.0;92967;Manual;feb-03;Gasolina;88 kW (120 CV)
NL;kia;ceed sw / cee'd sw;30990.0;14121;Manual;jul-24;Gasolina;103 kW (140 CV)
NL;citroen;c3;5900.0;116492;Manual;jun-15;Gasolina;50 kW (68 CV)
NL;toyota;c-hr;22890.0;22839;Automatico;oct-19;Electro/Gasolina;0 kW (0 CV)
NL;bmw;740;42950.0;;Automatico;oct-18;Gasolina;241 kW (328 CV)
D;mercedes-benz;e 300;12500.0;185000;Automatico;feb-93;Gasolina;132 kW (179 CV)
D;seat;arona;18440.0;0;Manual;0;Gasolina;70 kW (95 CV)
NL;ford;mondeo;7990.0;223000;Manual;jun-09;Gasolina;169 kW (230 CV)
E;toyota;yaris;21300.0;16333;Automatico;jun-22;Electro/Gasolina;85 kW (116 CV)
F;ford;kuga;24990.0;51500;Manual;dic-20;Diesel;110 kW (150 CV)
E;ford;fiesta;19000.0;;Manual;may-91;Gasolina;98 kW (133 CV)
I;mazda;cx-30;17700.0;70000;Manual;feb-22;Electro/Gasolina;90 kW (122 CV)
D;mini;cooper s cabrio;13900.0;88000;Manual;feb-15;Gasolina;135 kW (184 CV)
D;renault;megane;23777.0;19912;Automatico;mar-23;Electro/Gasolina;118 kW (160 CV)
F;nissan;juke;20890.0;29900;Automatico;abr-23;Gasolina;85 kW (116 CV)
I;mitsubishi;lancer;;77500;Manual;ene-06;Gasolina;206 kW (280 CV)
I;ford;kuga;23900.0;14274;Manual;nov-23;Gasolina;110 kW (150 CV)
I;fiat;uno;27000.0;56000;Manual;sep-91;Gasolina;85 kW (116 CV)
B;renault;clio;7250.0;133000;Manual;feb-15;Gasolina;66 kW (90 CV)
D;porsche;911;42490.0;132575;Manual;jul-04;Gasolina;235 kW (320 CV)
I;cupra;formentor;23890.0;32000;Automatico;mar-21;Gasolina;110 kW (150 CV)
B;mercedes-benz;c 200;13990.0;316844;Automatico;feb-19;Diesel;110 kW (150 CV)
B;volkswagen;passat variant;38490.0;2;Automatico;0;Gasolina;110 kW (150 CV)
A;mazda;5;1350.0;260000;Manual;ago-08;Diesel;81 kW (110 CV)
NL;mercedes-benz;;53642.0;0;Automatico;ene-24;Electrico;140 kW (190 CV)
I;alfa romeo;mito;5300.0;66300;Manual;oct-12;Gasolina;51 kW (69 CV)
I;opel;manta;17000.0;1000;0 Transmision;mar-77;Gasolina;81 kW (110 CV)
D;opel;astra;5999.0;113000;Automatico;abr-04;Gasolina;108 kW (147 CV)
F;rolls-royce;corniche;134900.0;79800;Automatico;jul-00;Gasolina;235 kW (320 CV)
B;bmw;x1;18500.0;64811;Manual;jun-18;Gasolina;103 kW (140 CV)
B;mercedes-benz;c 200;12190.0;60000;Automatico;nov-11;Diesel;100 kW (136 CV)
D;ford;mondeo;3750.0;330773;Manual;mar-14;Diesel;103 kW (140 CV)
NL;opel;grandland x;12995.0;205784;Automatico;may-18;Diesel;88 kW (120 CV)
I;volkswagen;passat;;232300;Automatico;feb-20;Diesel;110 kW (150 CV)
NL;skoda;octavia;12500.0;137400;Automatico;sep-16;Gasolina;110 kW (150 CV)
F;dacia;duster;29980.0;;Automatico;jul-24;Electro/Gasolina;103 kW (140 CV)
D;bmw;320;1190.0;399000;Manual;dic-99;Diesel;100 kW (136 CV)
D;porsche;panamera;67990.0;71000;Automatico;jul-18;Gasolina;243 kW (330 CV)
D;bmw;120;5399.0;259594;Manual;jun-09;Diesel;130 kW (177 CV)
I;mini;countryman s all4;6000.0;165000;Manual;oct-10;Diesel;82 kW (111 CV)
B;mercedes-benz;a 160;22890.0;22857;Manual;ago-22;Gasolina;80 kW (109 CV)
B;skoda;kamiq;16990.0;26246;Manual;ago-21;Gasolina;70 kW (95 CV)
E;renault;kadjar;15150.0;69310;Manual;jul-15;Diesel;96 kW (131 CV)
B;iveco;daily;33820.0;73150;Manual;oct-20;Diesel;88 kW (120 CV)
E;bmw;340;75026.0;0;Automatico;0;Diesel;250 kW (340 CV)
E;volkswagen;t-cross;17000.0;33000;Manual;may-22;Gasolina;81 kW (110 CV)
E;opel;insignia;9500.0;155000;Manual;jun-17;Diesel;100 kW (136 CV)
I;jaguar;xe;13800.0;184000;Semiautomatico;dic-15;Diesel;132 kW (179 CV)
NL;volkswagen;t-roc;36990.0;10;Manual;ene-24;Gasolina;85 kW (116 CV)
F;volvo;xc60;58990.0;28000;Automatico;mar-22;Electro/Gasolina;228 kW (310 CV)
I;audi;a3;6500.0;140000;Manual;mar-09;Gasolina;75 kW (102 CV)
NL;mazda;cx-30;22500.0;81880;Manual;may-21;Electro/Gasolina;90 kW (122 CV)
I;opel;corsa;;210000;Manual;ago-12;Gas licuado (GLP);63 kW (86 CV)
F;seat;ibiza;3990.0;230000;Manual;abr-10;Diesel;78 kW (106 CV)
B;peugeot;208;11999.0;61000;Automatico;mar-19;Gasolina;81 kW (110 CV)
I;porsche;macan;39000.0;129000;Semiautomatico;sep-16;Diesel;190 kW (258 CV)
NL;honda;civic;38888.0;39619;Manual;ago-18;Gasolina;235 kW (320 CV)
D;bmw;318;2500.0;156000;Manual;sep-07;Gasolina;95 kW (129 CV)
D;mercedes-benz;eqs;55888.0;;Automatico;mar-22;Electrico;215 kW (292 CV)
A;morgan;plus 4;54000.0;10299;Manual;nov-13;Gasolina;106 kW (144 CV)
I;land rover;range rover evoque;;170000;Manual;sep-13;Diesel;110 kW (150 CV)
NL;peugeot;2008;7250.0;100615;Manual;abr-16;Gasolina;60 kW (82 CV)
B;mercedes-benz;e 220;3500.0;178000;Automatico;oct-04;Diesel;110 kW (150 CV)
I;peugeot;207;4999.0;88000;Manual;jun-09;Gasolina;54 kW (73 CV)
NL;fiat;500;5495.0;146363;Manual;nov-10;Gasolina;51 kW (69 CV)
A;opel;kadett;15500.0;111400;Manual;may-88;Gasolina;85 kW (116 CV)
A;ford;tourneo courier;12880.0;112570;Manual;jun-19;Gasolina;74 kW (101 CV)
