Pais;Marca;Modelo;Precio;Kilometros;Automatico/Manual;Fabricacion;Combustible;Potencia
I;volkswagen;passat alltrack;13900.0;;Semiautomatico;ene-16;Diesel;140 kW (190 CV)
B;bmw;325;9999.0;267463;Manual;abr-11;Diesel;150 kW (204 CV)
I;porsche;taycan;109900.0;100;Automatico;dic-23;Electrico;360 kW (489 CV)
I;ferrari;360;145000.0;65900;Manual;feb-02;Gasolina;294 kW (400 CV)
F;peugeot;2008;21499.0;;Automatico;abr-22;Electrico;0 kW (0 CV)
A;dacia;logan;6690.0;165000;Manual;dic-16;Gasolina;66 kW (90 CV)
I;mini;cooper d countryman;11000.0;98000;Semiautomatico;sep-14;Diesel;82 kW (111 CV)
F;ford;focus;19490.0;43585;Manual;ene-22;Otros;93 kW (126 CV)
E;ds automobiles;ds 4;8490.0;64069;Manual;oct-16;Gasolina;96 kW (131 CV)
F;land rover;range rover velar;70240.0;2500;Automatico;sep-23;Diesel;150 kW (204 CV)
D;porsche;panamera;61999.0;80500;Automatico;mar-19;Gasolina;243 kW (330 CV)
NL;kia;niro;31390.0;18951;Automatico;jun-24;Electro/Gasolina;104 kW (141 CV)
B;mercedes-benz;e 250;19000.0;101000;Manual;ene-15;Diesel;150 kW (204 CV)
D;hyundai;ix35;11000.0;91000;Automatico;abr-11;Gasolina;120 kW (163 CV)
D;ford;mondeo;5200.0;180000;Automatico;abr-11;Gasolina;149 kW (203 CV)
D;fiat;tipo;18980.0;1501;Manual;nov-24;Diesel;96 kW (131 CV)
D;opel;insignia;3599.0;160564;Manual;dic-12;Diesel;118 kW (160 CV)
D;opel;astra;7250.0;109000;Manual;sep-13;Gasolina;103 kW (140 CV)
NL;peugeot;208;19450.0;9167;Manual;jul-23;Gasolina;74 kW (101 CV)
E;mercedes-benz;vito;10000.0;;Manual;jun-12;Diesel;100 kW (136 CV)
D;ssangyong;tivoli;24490.0;0;Automatico;0;Gasolina;120 kW (163 CV)
A;seat;leon;18980.0;59181;Automatico;feb-21;Gasolina;81 kW (110 CV)
I;abarth;595c;15000.0;94000;Manual;jun-14;Gasolina;117 kW (159 CV)
I;bmw;x2;49900.0;;Automatico;abr-24;Diesel;110 kW (150 CV)
I;jeep;cherokee;18700.0;139000;Automatico;feb-19;Diesel;143 kW (194 CV)
I;bmw;120;10000.0;180000;Manual;may-13;Diesel;135 kW (184 CV)
I;lancia;delta;4700.0;195000;Semiautomatico;may-11;Diesel;88 kW (120 CV)
E;volvo;v60;25900.0;74000;Automatico;dic-18;Diesel;110 kW (150 CV)
NL;peugeot;408;37900.0;5451;Automatico;jun-24;Gasolina;96 kW (131 CV)
D;mazda;premacy;1000.0;159840;Manual;jul-03;Gasolina;96 kW (131 CV)
D;dacia;sandero;19990.0;12072;Manual;ene-24;Gasolina;81 kW (110 CV)
D;mitsubishi;space star;17644.0;49;Manual;nov-24;Gasolina;52 kW (71 CV)
NL;bmw;525;5000.0;230000;Automatico;oct-05;Gasolina;141 kW (192 CV)
F;dacia;duster;;93900;Manual;oct-20;Diesel;85 kW (116 CV)
I;toyota;rav 4;7300.0;159000;Manual;abr-07;Diesel;130 kW (177 CV)
B;mercedes-benz;c 180;7000.0;200000;Manual;jul-11;Diesel;88 kW (120 CV)
D;bmw;320;39789.0;13434;Automatico;mar-24;Gasolina;135 kW (184 CV)
I;hyundai;tucson;34300.0;925;Automatico;ene-23;Electro/Gasolina;132 kW (179 CV)
NL;seat;ibiza;4999.0;142351;Manual;ene-13;Diesel;55 kW (75 CV)
B;toyota;avensis;2650.0;;Manual;feb-03;Gasolina;81 kW (110 CV)
NL;renault;clio;2000.0;155380;Manual;feb-06;Gasolina;72 kW (98 CV)
NL;skoda;yeti;17995.0;24978;Automatico;sep-16;Gasolina;92 kW (125 CV)
F;opel;corsa;18199.0;8000;Manual;nov-24;Gasolina;75 kW (102 CV)
NL;bmw;120;51815.0;5;Automatico;ene-24;Gasolina;115 kW (156 CV)
NL;seat;ibiza;1750.0;241865;Manual;feb-03;Gasolina;47 kW (64 CV)
I;peugeot;508;3500.0;240000;Automatico;oct-11;Diesel;120 kW (163 CV)
F;toyota;land cruiser;33500.0;362956;Manual;sep-96;Diesel;125 kW (170 CV)
B;nissan;juke;;74500;Manual;jul-11;Gasolina;86 kW (117 CV)
E;kia;;12490.0;73094;Automatico;abr-19;Gasolina;103 kW (140 CV)
D;volkswagen;golf plus;6900.0;134000;Manual;feb-12;Gasolina;90 kW (122 CV)
I;citroen;c3;13990.0;32989;Manual;jun-23;Gasolina;61 kW (83 CV)
D;dacia;sandero;10780.0;68681;Manual;sep-19;Gasolina;66 kW (90 CV)
E;mercedes-benz;cla 250;43490.0;30120;Automatico;ene-23;Electro/Gasolina;120 kW (163 CV)
NL;toyota;land cruiser;37950.0;;Manual;abr-99;Diesel;96 kW (131 CV)
F;fiat;500e;16999.0;34164;Automatico;sep-22;Electrico;88 kW (120 CV)
I;audi;a1;15900.0;95500;Manual;jun-17;Gasolina;70 kW (95 CV)
D;volkswagen;scirocco;14800.0;131000;Automatico;jul-16;Gasolina;132 kW (179 CV)
D;mercedes-benz;a 180;25890.0;36370;Automatico;sep-19;Gasolina;100 kW (136 CV)
E;ford;ecosport;16990.0;23090;Manual;abr-23;Gasolina;92 kW (125 CV)
D;ford;fiesta;13000.0;57428;0 Transmision;oct-19;Gasolina;74 kW (101 CV)
E;dacia;sandero;10682.0;67620;Manual;oct-19;Diesel;70 kW (95 CV)
NL;dacia;sandero;17450.0;53973;Manual;oct-22;Gas licuado (GLP);74 kW (101 CV)
NL;nissan;x-trail;62745.0;10;Automatico;ene-24;Electro/Gasolina;157 kW (213 CV)
I;smart;fortwo;;;0 Transmision;jun-23;Electrico;41 kW (56 CV)
E;peugeot;5008;25500.0;21331;Manual;feb-24;Gasolina;96 kW (131 CV)
NL;audi;a1;27900.0;28074;Automatico;jul-21;Gasolina;81 kW (110 CV)
NL;bmw;i4;92156.0;5;Automatico;ene-24;Electrico;400 kW (544 CV)
NL;mercedes-benz;c 350;18250.0;133552;Automatico;dic-16;Electro/Gasolina;155 kW (211 CV)
I;renault;clio;4790.0;156689;Manual;nov-11;Gasolina;55 kW (75 CV)
D;opel;corsa;20990.0;10;Manual;0;Gasolina;74 kW (101 CV)
E;lamborghini;huracan;399000.0;11300;Automatico;oct-22;Gasolina;470 kW (639 CV)
D;citroen;c3;13390.0;27000;Manual;sep-19;Gasolina;81 kW (110 CV)
D;smart;fortwo;9790.0;34200;Automatico;oct-20;Electrico;60 kW (82 CV)
A;porsche;macan;48900.0;65234;Automatico;ene-17;Diesel;190 kW (258 CV)
D;lexus;;49950.0;45110;Automatico;oct-18;Electro/Gasolina;264 kW (359 CV)
D;audi;rs4;48990.0;109253;Manual;ene-01;Gasolina;351 kW (477 CV)
D;chevrolet;suburban;89950.0;50;Automatico;0;Gasolina;313 kW (426 CV)
B;mercedes-benz;s 350;45000.0;;Automatico;dic-17;Diesel;230 kW (313 CV)
NL;man;tge;47130.0;24;Manual;ene-24;Diesel;103 kW (140 CV)
I;citroen;ami;6500.0;9000;Automatico;dic-02;Electrico;6 kW (8 CV)
NL;opel;astra;2950.0;245000;Manual;mar-05;Gasolina;125 kW (170 CV)
D;volkswagen;golf;4000.0;164000;Manual;nov-09;Gasolina;90 kW (122 CV)
